externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL1129-1469 0.7 0.17 133 398 17 24.9 0.17126
BL1129-1469 0.7 0.17 133 398 17 24.9 0.17126
BL1129-1469 0.7 0.17 133 398 17 24.31 0.17126
BL1129-1469 0.7 0.17 133 398 17 20.59 0.17126
BL1129-1477 0.3 0.22 184 429 23 28.99 0.243401
BL1129-1477 0.3 0.22 184 429 23 28.99 0.243401
BL1129-1477 0.3 0.22 184 429 23 32.01 0.243401
BL1129-1477 0.3 0.22 184 429 23 29.13 0.243401
BL1129-1477 0.3 0.22 184 429 23 35.08 0.243401
BL1129-1493 0.2 0.21 93 383 16 22.63 0.139851
BL1129-1493 0.2 0.21 93 383 16 22.35 0.139851
BL1129-1493 0.2 0.21 93 383 16 18.64 0.139851
BL1129-1493 0.2 0.21 93 383 16 22.35 0.139851
BL1297-566 0.4 0.23 111 371 14 26.41 0.198062
BL1297-566 0.4 0.23 111 371 14 25.01 0.198062
BL1297-566 0.4 0.23 111 371 14 25.01 0.198062
BL1297-566 0.4 0.23 111 371 14 22.13 0.198062
BL1297-578 0.2 0.22 152 356 19 33.57 0.291307
BL1297-578 0.2 0.22 152 356 19 33.56 0.291307
BL1297-578 0.2 0.22 152 356 19 26.29 0.291307
BL1297-578 0.2 0.22 152 356 19 30.51 0.291307
BL1297-578 0.2 0.22 152 356 19 26.29 0.291307
BL1297-604 0.3 0.25 162 447 21 30.76 0.226179
BL1297-604 0.3 0.25 162 447 21 31.36 0.226179
BL1297-604 0.3 0.25 162 447 21 29.3 0.226179
BL1297-604 0.3 0.25 162 447 21 26.86 0.226179
BL1297-604 0.3 0.25 162 447 21 31.36 0.226179
BL1301-1425 0.3 0.25 171 474 20 25.48 0.261752
BL1301-1425 0.3 0.25 171 474 20 27.45 0.261752
BL1301-1425 0.3 0.25 171 474 20 32.82 0.261752
BL1301-1425 0.3 0.25 171 474 20 32.61 0.261752
BL1301-1425 0.3 0.25 171 474 20 25.48 0.261752
BL1321-851 0.2 0.21 93 355 26 21.59 0.102798
BL1321-851 0.2 0.21 93 355 26 21.4 0.102798
BL1321-851 0.2 0.21 93 355 26 18.16 0.102798
BL1321-851 0.2 0.21 93 355 26 20.23 0.102798
BL1324-435 0.2 0.18 88 301 15 23.15 0.286568
BL1324-435 0.2 0.18 88 301 15 32.69 0.286568
BL1324-435 0.2 0.18 88 301 15 34.31 0.286568
BL1324-435 0.2 0.18 88 301 15 32.83 0.286568
BL1324-454 0.1 0.21 68 281 19 31.36 0.246805
BL1324-454 0.1 0.21 68 281 19 26.21 0.246805
BL1324-454 0.1 0.21 68 281 19 27.72 0.246805
BL1324-454 0.1 0.21 68 281 19 30.7 0.246805
BL1324-454 0.1 0.21 68 281 19 30.6 0.246805
BL1357-1180 0.4 0.2 88 244 16 23.4 0.206925
BL1357-1180 0.4 0.2 88 244 16 29.61 0.206925
BL1357-1180 0.4 0.2 88 244 16 28.67 0.206925
BL1357-1180 0.4 0.2 88 244 16 23.4 0.206925
BL1357-1202 0.3 0.19 160 333 22 27.52 0.208078
BL1357-1202 0.3 0.19 160 333 22 27.21 0.208078
BL1357-1202 0.3 0.19 160 333 22 30.27 0.208078
BL1357-1202 0.3 0.19 160 333 22 31.09 0.208078
BL1357-1202 0.3 0.19 160 333 22 30.27 0.208078
BL1367-483 0.5 0.24 103 384 15 20.46 0.184582
BL1367-483 0.5 0.24 103 384 15 24.17 0.184582
BL1367-483 0.5 0.24 103 384 15 25.17 0.184582
BL1367-483 0.5 0.24 103 384 15 24.17 0.184582
BL1367-494 0.2 0.24 165 351 25 30.43 0.265162
BL1367-494 0.2 0.24 165 351 25 29.55 0.265162
BL1367-494 0.2 0.24 165 351 25 27.05 0.265162
BL1367-494 0.2 0.24 165 351 25 33.38 0.265162
BL1367-494 0.2 0.24 165 351 25 33.38 0.265162
BL1376-80 0.39 0.224 136.6 361.3 18 28.76 0.214574
BL1376-80 0.39 0.224 136.6 361.3 18 22.78 0.214574
BL1376-80 0.39 0.224 136.6 361.3 18 29.69 0.214574
BL1376-80 0.39 0.224 136.6 361.3 18 29.12 0.214574
BL1380-1092 0.6 0.18 110 312 14 28.05 0.26327
BL1380-1092 0.6 0.18 110 312 14 22.74 0.26327
BL1380-1092 0.6 0.18 110 312 14 28.05 0.26327
BL1380-1092 0.6 0.18 110 312 14 26.63 0.26327
BL1380-1119 0.2 0.19 169 307 23 27.34 0.241486
BL1380-1119 0.2 0.19 169 307 23 33.17 0.241486
BL1380-1119 0.2 0.19 169 307 23 28.44 0.241486
BL1380-1119 0.2 0.19 169 307 23 32.06 0.241486
BL1380-1119 0.2 0.19 169 307 23 27.34 0.241486
BL1459-570 0.2 0.17 99 304 26 22.04 0.231122
BL1459-570 0.2 0.17 99 304 26 22.04 0.231122
BL1459-570 0.2 0.17 99 304 26 29.13 0.231122
